label_number,cost,epsilon,gamma,pearson,spearman
CD4.T.cells,384,0.05,0.001,0.9890117428147317,0.8678267678924991
CD4.T.cells,512,0.05,0.001,0.9890117428147317,0.8678267678924991
CD4.T.cells,768,0.05,0.001,0.9890117428147317,0.8678267678924991
CD4.T.cells,256,5e-5,0.001,0.9868576952472343,0.8665561608650687
CD4.T.cells,384,5e-5,0.001,0.9868576952472343,0.8665561608650687
CD4.T.cells,512,5e-5,0.001,0.9868576952472343,0.8665561608650687
CD4.T.cells,768,5e-5,0.001,0.9868576952472343,0.8665561608650687
CD4.T.cells,256,5e-4,0.001,0.9885188956308849,0.8679135408926345
CD4.T.cells,384,5e-4,0.001,0.9885188956308849,0.8679135408926345
CD4.T.cells,512,5e-4,0.001,0.9885188956308849,0.8679135408926345
CD4.T.cells,768,5e-4,0.001,0.9885188956308849,0.8679135408926345
CD4.T.cells,256,5e-6,0.001,0.9866699878358639,0.8663305990977451
CD4.T.cells,384,5e-6,0.001,0.9866699878358639,0.8663305990977451
CD4.T.cells,512,5e-6,0.001,0.9866699878358639,0.8663305990977451
CD4.T.cells,768,5e-6,0.001,0.9866699878358639,0.8663305990977451
CD8.T.cells,256,0.005,1e-8,0.8202384139379937,0.7113082122982177
CD8.T.cells,384,0.005,1e-8,0.8462481722947949,0.7340297341096784
CD8.T.cells,512,0.005,1e-8,0.8712590243221805,0.7517404888002285
CD8.T.cells,768,0.005,1e-8,0.9115774741712913,0.7838990455980412
CD8.T.cells,256,0.05,1e-8,0.8432062603783095,0.7288966096257766
CD8.T.cells,384,0.05,1e-8,0.8709379298551103,0.7514786975168333
CD8.T.cells,512,0.05,1e-8,0.8879647014044273,0.7647657908345763
CD8.T.cells,768,0.05,1e-8,0.920820041262533,0.7940961284623336
CD8.T.cells,256,5e-5,1e-8,0.8203691693722764,0.7114826592073069
CD8.T.cells,384,5e-5,1e-8,0.8450940332660686,0.7336415816756376
CD8.T.cells,512,5e-5,1e-8,0.8705779098914339,0.751706899977622
CD8.T.cells,768,5e-5,1e-8,0.9120524820034063,0.7843166084051564
CD8.T.cells,256,5e-4,1e-8,0.820144042717801,0.7111070689929209
CD8.T.cells,384,5e-4,1e-8,0.845517748899761,0.7338947742204455
CD8.T.cells,512,5e-4,1e-8,0.8708234515441924,0.7518699938646701
CD8.T.cells,768,5e-4,1e-8,0.9119896090891999,0.7842665207528856
CD8.T.cells,256,5e-6,1e-8,0.8204117528618664,0.7113157361944815
CD8.T.cells,384,5e-6,1e-8,0.8451703715783293,0.7336990588688819
CD8.T.cells,512,5e-6,1e-8,0.8706269592668117,0.7517572294694156
CD8.T.cells,768,5e-6,1e-8,0.9114955363695209,0.7839272333379727
CD8.T.cells,256,0.005,1e-7,0.9881687763181289,0.873527997262426
CD8.T.cells,384,0.005,1e-7,0.9917022210050789,0.8775131364028114
CD8.T.cells,512,0.005,1e-7,0.9931531200297945,0.8789905206118653
CD8.T.cells,768,0.005,1e-7,0.994406767050182,0.8798708970879111
CD8.T.cells,256,0.05,1e-7,0.9758744555479019,0.858974511283714
CD8.T.cells,384,0.05,1e-7,0.9805397336233495,0.8651089588761031
CD8.T.cells,512,0.05,1e-7,0.9821076286001785,0.8667024126205563
CD8.T.cells,768,0.05,1e-7,0.9845172545375006,0.8697330111645806
CD8.T.cells,256,5e-5,1e-7,0.9888456452392985,0.8742689263825385
CD8.T.cells,384,5e-5,1e-7,0.9922456570958543,0.8779991532303986
CD8.T.cells,512,5e-5,1e-7,0.9936129806593245,0.8794780690897633
CD8.T.cells,768,5e-5,1e-7,0.9948928232474645,0.8809184652873631
CD8.T.cells,256,5e-4,1e-7,0.9888941562735077,0.8742066795764841
CD8.T.cells,384,5e-4,1e-7,0.992247369189711,0.8780159476417018
CD8.T.cells,512,5e-4,1e-7,0.9936796476239894,0.8796361649600076
CD8.T.cells,768,5e-4,1e-7,0.9948529075237964,0.8808076893504069
CD8.T.cells,256,5e-6,1e-7,0.988904503806172,0.8742656884200393
CD8.T.cells,384,5e-6,1e-7,0.9922419643349747,0.8779692054361625
CD8.T.cells,512,5e-6,1e-7,0.9936091992223143,0.879490281985663
CD8.T.cells,768,5e-6,1e-7,0.9949061728231589,0.8809191370638152
CD8.T.cells,256,0.005,1e-6,0.9954500667477112,0.8802441629557728
CD8.T.cells,384,0.005,1e-6,0.9953854399987626,0.8795824362793664
CD8.T.cells,512,0.005,1e-6,0.9952284129571369,0.8791301023230889
CD8.T.cells,768,0.005,1e-6,0.9949848319795108,0.877806648970276
CD8.T.cells,256,0.05,1e-6,0.9886005318631229,0.8727533583999455
CD8.T.cells,384,0.05,1e-6,0.9895613789392775,0.8740705911028116
CD8.T.cells,512,0.05,1e-6,0.9903070039611297,0.8746149046909147
CD8.T.cells,768,0.05,1e-6,0.9905437228548544,0.8746744778266896
CD8.T.cells,256,5e-5,1e-6,0.9953408406005879,0.8793904828759346
CD8.T.cells,384,5e-5,1e-6,0.9949921441140961,0.8785257587912234
CD8.T.cells,512,5e-5,1e-6,0.9945769814693818,0.8775829877183038
CD8.T.cells,768,5e-5,1e-6,0.9940275025983162,0.8766330286373464
CD8.T.cells,256,5e-4,1e-6,0.9953270490269015,0.8794889384327589
CD8.T.cells,384,5e-4,1e-6,0.9950557624921824,0.8787790856913218
CD8.T.cells,512,5e-4,1e-6,0.9947249988567204,0.878063952786971
CD8.T.cells,768,5e-4,1e-6,0.9941394453465221,0.8771120455543024
CD8.T.cells,256,5e-6,1e-6,0.9953265778188525,0.8792339589625883
CD8.T.cells,384,5e-6,1e-6,0.9949983861924542,0.8784887439087111
CD8.T.cells,512,5e-6,1e-6,0.9945696776497616,0.8775727498451733
CD8.T.cells,768,5e-6,1e-6,0.9939986883714764,0.8764858155456265
CD8.T.cells,256,0.005,1e-5,0.9938002103278112,0.8747739276126629
CD8.T.cells,384,0.005,1e-5,0.9932772926098219,0.8731954679186215
CD8.T.cells,512,0.005,1e-5,0.9927045710293141,0.8719242787737844
CD8.T.cells,768,0.005,1e-5,0.9919019970209485,0.87061137231127
CD8.T.cells,256,0.05,1e-5,0.9904489590160929,0.8741620601845336
CD8.T.cells,384,0.05,1e-5,0.9904012890265311,0.8740708463778635
